Player,pct_2P_2013,pct_0-3_2013,pct_3-10_2013,pct_10-16_2013,pct_16-3P_2013,pct_3P_2013,att_2P_2013,att_0-3_2013,att_3-10_2013,att_10-16_2013,att_16-3P_2013,att_3P_2013
Evan Fournier,.645,.408,.151,.033,.053,.355,.541,.710,.217,.600,.125,.407
Randy Foye,.412,.103,.073,.047,.188,.588,.378,.539,.241,.229,.381,.410
Jimmer Fredette,.619,.142,.213,.134,.130,.381,.423,.517,.414,.455,.302,.417
Enes Freedom,.997,.485,.243,.132,.137,.003,.542,.652,.446,.400,.462,1.000
Joel Freeland,1.000,.366,.268,.077,.289,.000,.408,.558,.368,.273,.293,
Danilo Gallinari,.584,.254,.111,.047,.172,.416,.450,.570,.320,.488,.347,.373
Francisco García,.403,.103,.047,.043,.210,.597,.421,.645,.429,.154,.365,.374
Francisco García,.468,.112,.054,.054,.249,.532,.385,.609,.455,.182,.314,.367
Francisco García,.263,.084,.032,.021,.126,.737,.560,.750,.333,.000,.583,.386
Player,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P
Kevin Garnett*,.981,.171,.198,.216,.396,.019,.504,.724,.417,.484,.463,.125
Diante Garrett,.694,.265,.245,.102,.082,.306,.382,.692,.250,.200,.000,.200
Marc Gasol,.984,.221,.311,.247,.205,.016,.501,.651,.437,.451,.494,.071
Pau Gasol,.952,.278,.264,.142,.268,.048,.475,.665,.386,.427,.394,.286
Rudy Gay,.792,.221,.195,.195,.182,.208,.440,.603,.369,.430,.329,.323
Rudy Gay,.813,.234,.206,.203,.169,.188,.431,.571,.359,.414,.345,.310
Rudy Gay,.768,.205,.181,.184,.198,.232,.452,.647,.382,.452,.313,.336
Alonzo Gee,.706,.341,.157,.106,.101,.294,.450,.622,.197,.354,.360,.315
Mickaël Gelabale,.626,.281,.079,.072,.194,.374,.644,.795,.364,.500,.593,.308
Paul George,.601,.241,.085,.116,.159,.399,.457,.629,.250,.372,.369,.362
Daniel Gibson,.340,.069,.049,.012,.211,.660,.333,.529,.250,.333,.288,.344
Taj Gibson,.991,.435,.188,.170,.197,.009,.490,.656,.373,.413,.299,.000
Manu Ginóbili*,.564,.276,.119,.071,.098,.436,.480,.651,.344,.316,.283,.353
Drew Gooden,.918,.410,.131,.131,.246,.082,.339,.480,.125,.250,.267,.200
Ben Gordon,.616,.176,.122,.064,.253,.384,.421,.545,.366,.347,.380,.387
Eric Gordon,.704,.281,.195,.051,.176,.296,.436,.543,.395,.300,.350,.324
Marcin Gortat,.995,.447,.283,.171,.094,.005,.524,.704,.369,.381,.396,.000
Andrew Goudelock,1.000,.000,.000,.500,.500,.000,.000,,,.000,.000,
Danny Granger,.714,.086,.171,.143,.314,.286,.320,.667,.000,.200,.455,.200
Aaron Gray,1.000,.578,.367,.033,.022,.000,.533,.635,.364,.667,.500,
Danny Green,.377,.178,.072,.038,.089,.623,.480,.585,.313,.360,.458,.429
Draymond Green,.739,.272,.132,.093,.241,.261,.368,.586,.176,.208,.290,.209
Player,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P
Gerald Green,.557,.137,.075,.130,.215,.443,.407,.638,.375,.364,.297,.314
Jeff Green,.774,.371,.159,.067,.177,.226,.490,.659,.258,.389,.385,.385
Willie Green,.570,.166,.096,.052,.256,.430,.486,.625,.514,.500,.384,.428
Blake Griffin,.974,.378,.273,.094,.229,.026,.548,.778,.468,.356,.343,.179
Hamed Haddadi,1.000,.512,.244,.134,.110,.000,.427,.548,.250,.455,.222,
Hamed Haddadi,1.000,.429,.286,.095,.190,.000,.333,.333,.333,.500,.250,
